 27/12/2017 08:00:00 a.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 27/12/2017 09:00:00 a.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 27/12/2017 10:00:00 a.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 27/12/2017 11:00:00 a.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 27/12/2017 12:00:00 p.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 27/12/2017 01:00:00 p.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 27/12/2017 02:00:00 p.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 27/12/2017 03:00:00 p.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 27/12/2017 04:00:00 p.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 27/12/2017 05:00:00 p.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 27/12/2017 06:00:00 p.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 27/12/2017 07:00:00 p.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 27/12/2017 08:00:00 p.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 27/12/2017 09:00:00 p.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 27/12/2017 10:00:00 p.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 27/12/2017 11:00:00 p.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 28/12/2017 12:00:00 a.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 28/12/2017 01:00:00 a.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 28/12/2017 02:00:00 a.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 28/12/2017 03:00:00 a.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 28/12/2017 04:00:00 a.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 28/12/2017 05:00:00 a.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 28/12/2017 06:00:00 a.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 28/12/2017 07:00:00 a.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 28/12/2017 08:00:00 a.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 28/12/2017 09:00:00 a.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 28/12/2017 10:00:00 a.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 28/12/2017 11:00:00 a.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 28/12/2017 12:00:00 p.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 28/12/2017 01:00:00 p.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 28/12/2017 02:00:00 p.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 28/12/2017 03:00:00 p.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 28/12/2017 04:00:00 p.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 28/12/2017 05:00:00 p.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 28/12/2017 06:00:00 p.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 28/12/2017 07:00:00 p.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 28/12/2017 08:00:00 p.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 28/12/2017 09:00:00 p.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 28/12/2017 10:00:00 p.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 28/12/2017 11:00:00 p.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 29/12/2017 12:00:00 a.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 29/12/2017 01:00:00 a.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Precipitación Líquida ; mm ; 0.8 
 29/12/2017 02:00:00 a.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 29/12/2017 03:00:00 a.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 29/12/2017 04:00:00 a.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 29/12/2017 05:00:00 a.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 29/12/2017 06:00:00 a.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 29/12/2017 07:00:00 a.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 29/12/2017 08:00:00 a.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 29/12/2017 09:00:00 a.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 29/12/2017 10:00:00 a.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 29/12/2017 11:00:00 a.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 29/12/2017 12:00:00 p.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 29/12/2017 01:00:00 p.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 29/12/2017 02:00:00 p.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 29/12/2017 03:00:00 p.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 29/12/2017 04:00:00 p.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 29/12/2017 05:00:00 p.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 29/12/2017 06:00:00 p.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 29/12/2017 07:00:00 p.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 29/12/2017 08:00:00 p.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 29/12/2017 09:00:00 p.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 29/12/2017 10:00:00 p.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 29/12/2017 11:00:00 p.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 30/12/2017 12:00:00 a.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 30/12/2017 01:00:00 a.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 30/12/2017 02:00:00 a.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 30/12/2017 03:00:00 a.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Precipitación Líquida ; mm ; 0.3 
 30/12/2017 04:00:00 a.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Precipitación Líquida ; mm ; 3.9 
 30/12/2017 05:00:00 a.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 30/12/2017 06:00:00 a.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 30/12/2017 07:00:00 a.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Precipitación Líquida ; mm ; 0.1 
 30/12/2017 08:00:00 a.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Precipitación Líquida ; mm ; 0.9 
 30/12/2017 09:00:00 a.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Precipitación Líquida ; mm ; 0.2 
 30/12/2017 10:00:00 a.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 30/12/2017 11:00:00 a.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 30/12/2017 12:00:00 p.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 30/12/2017 01:00:00 p.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 30/12/2017 02:00:00 p.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 30/12/2017 03:00:00 p.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 30/12/2017 04:00:00 p.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 30/12/2017 05:00:00 p.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 30/12/2017 06:00:00 p.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 30/12/2017 07:00:00 p.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 30/12/2017 08:00:00 p.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 30/12/2017 09:00:00 p.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 30/12/2017 10:00:00 p.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 30/12/2017 11:00:00 p.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 31/12/2017 12:00:00 a.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 31/12/2017 01:00:00 a.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 31/12/2017 02:00:00 a.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 31/12/2017 03:00:00 a.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 31/12/2017 04:00:00 a.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 31/12/2017 05:00:00 a.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 31/12/2017 06:00:00 a.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 31/12/2017 07:00:00 a.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 31/12/2017 08:00:00 a.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 31/12/2017 09:00:00 a.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 31/12/2017 10:00:00 a.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 31/12/2017 11:00:00 a.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 31/12/2017 12:00:00 p.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 31/12/2017 01:00:00 p.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 31/12/2017 02:00:00 p.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 31/12/2017 03:00:00 p.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 31/12/2017 04:00:00 p.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 31/12/2017 05:00:00 p.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 31/12/2017 06:00:00 p.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 31/12/2017 07:00:00 p.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 31/12/2017 08:00:00 p.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 31/12/2017 09:00:00 p.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 31/12/2017 10:00:00 p.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 31/12/2017 11:00:00 p.m. ; CORMACARENA ; Catumare ; Automática ; 4.108056 ; -73.655833 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Precipitación Líquida ; mm ; 0.3 
 11/12/2017 01:00:00 a.m. ; CORMACARENA ; Cofrem ; Automática ; 4.1475 ; -73.621389 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 11/12/2017 02:00:00 a.m. ; CORMACARENA ; Cofrem ; Automática ; 4.1475 ; -73.621389 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 11/12/2017 03:00:00 a.m. ; CORMACARENA ; Cofrem ; Automática ; 4.1475 ; -73.621389 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 11/12/2017 04:00:00 a.m. ; CORMACARENA ; Cofrem ; Automática ; 4.1475 ; -73.621389 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 11/12/2017 05:00:00 a.m. ; CORMACARENA ; Cofrem ; Automática ; 4.1475 ; -73.621389 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 11/12/2017 06:00:00 a.m. ; CORMACARENA ; Cofrem ; Automática ; 4.1475 ; -73.621389 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 11/12/2017 07:00:00 a.m. ; CORMACARENA ; Cofrem ; Automática ; 4.1475 ; -73.621389 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 11/12/2017 08:00:00 a.m. ; CORMACARENA ; Cofrem ; Automática ; 4.1475 ; -73.621389 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 11/12/2017 09:00:00 a.m. ; CORMACARENA ; Cofrem ; Automática ; 4.1475 ; -73.621389 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 11/12/2017 10:00:00 a.m. ; CORMACARENA ; Cofrem ; Automática ; 4.1475 ; -73.621389 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 11/12/2017 11:00:00 a.m. ; CORMACARENA ; Cofrem ; Automática ; 4.1475 ; -73.621389 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 11/12/2017 12:00:00 p.m. ; CORMACARENA ; Cofrem ; Automática ; 4.1475 ; -73.621389 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
 11/12/2017 01:00:00 p.m. ; CORMACARENA ; Cofrem ; Automática ; 4.1475 ; -73.621389 ; 50 ; META ; 50001 ; VILLAVICENCIO ; Fija ; 1 ; Precipitación Líquida ; mm ; 0 
